,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,Postematico,,⚠️ Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/MI8NnKk96Q,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
1,2016carranque,CienciaOn,RT @CienciaOn: Confirmado: viajar a la velocidad de la luz retrasa el envejecimiento https://t.co/aWbVbPdbnZ,True,"Comunidad de Madrid, España",Confirmado viajar a la velocidad de la luz retrasa el envejecimiento,0.0
2,unsamwich,,"Dicen que tener las orejas grandes es signo de longevidad. 

Voy a la cocina a por unas tijeras.",False,"Marbella, España","Dicen que tener las orejas grandes es signo de longevidad 

Voy a la cocina a por unas tijeras",0.0
3,LaresAndalucia,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,,Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…,0.5106
4,KoldoMendi,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,"Madrid, Comunidad de Madrid",El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…,0.3818
5,InfoTextual,,🔰 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/BPUHkPFiTY,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
6,CruzRojaMurcia,"CRAlicante, CruzRojaEsp",RT @CRAlicante: Para cuidar a la familia y especialmente a las #personasmayores en @CruzRojaEsp hemos recopilado estos consejos para combat…,True,Región de Murcia (España),Para cuidar a la familia y especialmente a las personasmayores en  hemos recopilado estos consejos para combat…,0.4939
7,GiraInformativa,,⚠️ Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/vJszWBAuTi,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
8,arturo soriaP,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,España,El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…,0.3818
9,CruzRojaLP,,"Lo somos todo para nuestros padres y madres, por eso cuando llega la vejez, debemos demostrarles nuestro cariño con respeto y empatía.
#ProtegerLosDerechos #YoSiempreTeTrataréBien #YoSiempreTeCuidaré #BuenTrato #PersonasMayores https://t.co/BGakKcMbu4",False,Las Palmas,"Lo somos todo para nuestros padres y madres por eso cuando llega la vejez debemos demostrarles nuestro cariño con respeto y empatía
ProtegerLosDerechos YoSiempreTeTrataréBien YoSiempreTeCuidaré BuenTrato PersonasMayores",0.7579
10,La danseuse,kunstmacher ,"@kunstmacher_ Pero además Japón tiene una tasa de envejecimiento barbarísima. O sea, no son jóvenes viviendo solos, son ancianos. Doloroso, triste y grave.",False,Siempre en el salón de baile,Pero además Japón tiene una tasa de envejecimiento barbarísima O sea no son jóvenes viviendo solos son ancianos Doloroso triste y grave,-0.8074
11,Tuiterricolas,,⚠️ ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/Au0zLOfASh,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
12,ogonzalvez,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,"Ontinyent, España",Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…,0.5106
13,TuitReportes,,"⚠️ Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/tVGCbyq5ZF",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
14,CheloSanchezS,Laresmayores,"RT @Laresmayores: Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto:…",True,SA,Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto…,0.5106
15,diariodecuba,,"#Cuba: Baja natalidad, envejecimiento poblacional y falta de medidas para enfrentar estos fenómenos. https://t.co/dwo5BWMfPg",False,"Madrid, España",Cuba Baja natalidad envejecimiento poblacional y falta de medidas para enfrentar estos fenómenos,-0.5267
16,GrandesMedios,,💡 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/Q7Qvekzgvw,False,"Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
17,Laresmayores,Nutricia es,"Entrega del #Premio #AsociaciónLares de #BuenasPrácticas a la Residencia Betania Escolapis (#Zaragoza), por su proyecto: Protocolo de #prevención, #detección e #intervención frente a los malos tratos a #personasmayores. @Nutricia_es 

#IXPremiosLares 🏆 https://t.co/beupU02FCH",False,España,"Entrega del Premio AsociaciónLares de BuenasPrácticas a la Residencia Betania Escolapis Zaragoza por su proyecto Protocolo de prevención detección e intervención frente a los malos tratos a personasmayores  

IXPremiosLares",0.5106
18,vitalia group,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,España. México. Brasil. Asia,El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…,0.3818
19,HoffmannWorld,HoffmannMethod,"RT @HoffmannMethod: El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológi…",True,"Spain, México, Brasil, Malasia",El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológi…,0.3818
20,FranjMiranda,uandes,RT @uandes: Destacados expositores se referirán al cómo se están abordando las necesidades de las personas mayores desde la innovación soci…,True,"Santiago, Chile",Destacados expositores se referirán al cómo se están abordando las necesidades de las personas mayores desde la innovación soci…,0.765
21,HoffmannMethod,,"El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos, cognitivos, psicológicos y sociales especializado en #PersonasMayores ¿Aún no lo conoces? 

▶️https://t.co/ukjmjqk1hJ https://t.co/CJrmaQ2vam",False,"Madrid, España",El Método Hoffmann es un método de tratamiento rehabilitador y preventivo con beneficios físicos cognitivos psicológicos y sociales especializado en PersonasMayores ¿Aún no lo conoces,0.3818
22,DebesLeerlo,,⚠️ Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/gs8weEF0af,False,"Madrid, Comunidad de Madrid",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
23,BibliotekaEJGV,,"#Novedades de la #Biblioteca 📚 #Estrategia vasca de #gobernanza con las #PersonasMayores (2019-2022) : un modelo de #participación público social. -- 1. argit.. -- Vitoria-Gasteiz : #GVpublicaciones , 2019 https://t.co/vJBKMSmpAa https://t.co/GBqaNdkdad",False,Vitoria-Gasteiz,Novedades de la Biblioteca  Estrategia vasca de gobernanza con las PersonasMayores 20192022  un modelo de participación público social  1 argit  VitoriaGasteiz  GVpublicaciones  2019,0.0
24,MinerJoxe,BegoCallejaC,RT @BegoCallejaC: En breve comenzamos el encuentro entre las #PersonasMayores voluntarias de #MiradaActiva de la Asociación del Antiguo y @…,True,LA HIPOCRESÍA SIEMPRE SE NOTA♿,En breve comenzamos el encuentro entre las PersonasMayores voluntarias de MiradaActiva de la Asociación del Antiguo y …,0.0
25,LaresAndalucia,Laresmayores,"RT @Laresmayores: Entrega del #PremioLares al Modelo de #Intervención a nivel europeo a Uniao das Misericordias Portuguesas. Por su papel,…",True,,Entrega del PremioLares al Modelo de Intervención a nivel europeo a Uniao das Misericordias Portuguesas Por su papel…,0.0
26,LaresAndalucia,Laresmayores,"RT @Laresmayores: Alberto Ibáñez, secretario autonómico de #diversidad e #igualdad de la #ComunidadValenciana, agradece la celebración de e…",True,,Alberto Ibáñez secretario autonómico de diversidad e igualdad de la ComunidadValenciana agradece la celebración de e…,0.4588
27,GrandesMedios,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/NGHd165e6I,False,"Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
28,Laresmayores,,"Entrega del #PremioLares al Modelo de #Intervención a nivel europeo a Uniao das Misericordias Portuguesas. Por su papel, reconocido por las administraciones, en la #intervenciónsocial pasada y presente con las #personasmayores en #Portugal y #España.

#IXPremiosLares 🏆 https://t.co/miZTR1mm0L",False,España,"Entrega del PremioLares al Modelo de Intervención a nivel europeo a Uniao das Misericordias Portuguesas Por su papel reconocido por las administraciones en la intervenciónsocial pasada y presente con las personasmayores en Portugal y España

IXPremiosLares",0.0
29,chunchuca,,"Cuatro hermanos de 110, 109, 103 y 101 años iluminan los genes de la longevidad https://t.co/vUmCzxmsgS",False,,Cuatro hermanos de 110 109 103 y 101 años iluminan los genes de la longevidad,0.0
30,figuerjoda,ActualidadRT,"RT @ActualidadRT: El causante de la ""epidemia de soledad"" podría no ser otro que el envejecimiento de la población https://t.co/EWoGfQAKBf",True,"Bucaramanga, Colombia",El causante de la epidemia de soledad podría no ser otro que el envejecimiento de la población,-0.4215
31,joluga68,CruzRojaLeonES,"RT @CruzRojaLeonES: Los/as usuarios/as de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños!! #CREPonferrada
#PersonasMayor…",True,"Ponferrada, España","Losas usuariosas de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños CREPonferrada
PersonasMayor…",0.0
32,CruzRojaLeonES,,"Los/as usuarios/as de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños!! #CREPonferrada
#PersonasMayores #IRPFCyL #Navidad https://t.co/m72nvlimLY",False,"León, España","Losas usuariosas de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños CREPonferrada
PersonasMayores IRPFCyL Navidad",0.0
33,LaresAndalucia,Laresmayores,"RT @Laresmayores: ➡ Jiri Horecky, presidente de la #EAN, agradece la acogida y muestra su orgullo porque #Lares forme parte de la #RedEurop…",True,,Jiri Horecky presidente de la EAN agradece la acogida y muestra su orgullo porque Lares forme parte de la RedEurop…,0.34
